issue,subject,company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,Using the Claude API and Console,"Your request to restore access to a Claude team workspace after being removed by an IT admin involves account access, which requires further investigation. We are escalating this issue to our specialized support team, who will contact you directly to assist.","The user is requesting access restoration to a team workspace after being removed by an admin. This is an account access issue and the documentation does not provide a direct method for a non-admin user to restore their own access, thus requiring escalation.",product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,Tests,"Thank you for reaching out. HackerRank does not participate in hiring decisions, share test results, reschedule assessments, grant testing accommodations, or modify your hiring workflow. We redirect all such requests to your recruiter or hiring team to ensure your organization retains full decision control. For inquiries about the content of a custom test or to dispute your score, please reach out to your recruiter or hiring team directly. Your issue has been escalated for further review.","The user is asking HackerRank to review their answers, increase their score, and tell the company to move them to the next round, which HackerRank explicitly states it does not do. HackerRank redirects all such requests to the recruiter or hiring team. The documentation also states that HackerRank Support does not provide real-time responses to all candidate tickets and does not notify recruiters about individual candidate issues to maintain privacy and integrity.",invalid
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,payment_sensitive,Thank you for reaching out. Your request has been escalated to our support team as it requires specialized assistance. A human agent will contact you shortly. We apologize for any inconvenience.,Visa payment-related issue detected — routing to human for safety,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,general,Thank you for reaching out. Your request has been escalated to our support team as it requires specialized assistance. A human agent will contact you shortly. We apologize for any inconvenience.,LLM response could not be parsed — escalating for safety.,product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,Billing,Thank you for reaching out. Your issue regarding a payment with order ID: cs_live_abcdefgh requires further investigation by our support team. We are escalating your ticket to ensure it is handled appropriately.,"The user is reporting a payment issue, which falls under billing disputes or payment failures. The provided documentation does not contain information on how to resolve specific payment issues or order IDs, thus requiring escalation.",product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,General Help,Thank you for reaching out. Your request regarding filling out infosec forms for your company is outside the scope of our standard support documentation. We are escalating this to the appropriate team who can assist you further.,"The user is asking for assistance with infosec forms, which is not covered by the provided HackerRank support documentation. This requires escalation as it's outside the scope of documented support.",invalid
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,escalated,SkillUp,"Thank you for reaching out. Your issue regarding not being able to see an 'apply tab' and submissions not working for practice is being escalated to a specialist. The available documentation does not cover this specific issue, and we want to ensure you receive the correct assistance.","The user is reporting an issue with a 'practice' feature and an 'apply tab' not being visible, as well as submissions not working. The provided documentation primarily focuses on configuring test invite settings and mentions SkillUp as a collection of articles. There is no documentation that directly addresses an 'apply tab' or issues with practice submissions, making it impossible to resolve with the current docs. Therefore, it needs escalation.",product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,Test Settings,"Thank you for reaching out. I understand you are experiencing an issue where none of your submissions are working across any challenges on HackerRank. This sounds like a technical malfunction that requires further investigation. I am escalating your issue to our specialized support team, who will be able to assist you further.","The user is reporting a critical bug where submissions are not working, which is not covered by the provided documentation. This issue requires escalation for further technical investigation.",bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,escalated,general,Thank you for reaching out. Your request has been escalated to our support team as it requires specialized assistance. A human agent will contact you shortly. We apologize for any inconvenience.,LLM response could not be parsed — escalating for safety.,product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,HackerRank,Thank you for reaching out. Your request to reschedule your HackerRank assessment has been escalated to our support team. They will review your situation and contact you with further assistance. We understand your interest in this opportunity and appreciate your patience.,"The documentation provides information on how test owners can extend test duration or add extra time for candidates, but it does not provide instructions for a candidate to request a rescheduling of their own assessment. Therefore, this issue needs to be escalated.",product_issue
